100,0,28,,,kp,ki,kd
100,99.24,7581020,,,,,
100,100.06,7603900,,,,,
100,100.43,7627820,,,,,
100,100.42,7651740,,,,,
100,99.92,7675660,,,,,
100,99.31,7698540,,,,,
100,99.61,7721420,,,,,
100,100.38,7744300,,,,,
100,100.71,7768220,,,,,
100,100.16,7792140,,,,,
100,99.7,7816060,,,,,
100,99.61,7838940,,,,,
100,99.87,7861820,,,,,
100,100.61,7884700,,,,,
100,100.41,7908620,,,,,
100,99.91,7932540,,,,,
100,99.79,7955420,,,,,
100,99.52,7978300,,,,,
100,99.79,8001180,,,,,
100,100.02,8024060,,,,,
100,100.38,8047980,,,,,
100,100.37,8071900,,,,,
100,99.88,8095820,,,,,
100,99.76,8118700,,,,,
100,100,8141580,,,,,
100,100.38,8165500,,,,,
100,99.89,8189420,,,,,
100,99.8,8212300,,,,,
100,100.03,8235180,,,,,
100,99.89,8259100,,,,,
100,99.78,8281980,,,,,
100,100.02,8304860,,,,,
100,100.39,8328780,,,,,
100,100.38,8352700,,,,,
100,99.89,8376620,,,,,
100,99.29,8399500,,,,,
100,99.59,8422380,,,,,
100,100.37,8445260,,,,,
100,100.69,8469180,,,,,
100,100.15,8493100,,,,,
100,99.69,8517020,,,,,
100,99.6,8539900,,,,,
100,99.87,8562780,,,,,
100,100.09,8585660,,,,,
100,99.95,8609580,,,,,
100,100.33,8632460,,,,,
100,100.67,8656380,,,,,
100,100.13,8680300,,,,,
100,99.67,8704220,,,,,
100,99.59,8727100,,,,,
100,99.85,8749980,,,,,
100,100.08,8772860,,,,,
100,99.93,8796780,,,,,
100,100.33,8819660,,,,,
100,100.66,8843580,,,,,
100,100.12,8867500,,,,,
100,99.18,8891420,,,,,
100,99.19,8914300,,,,,
100,100.02,8937180,,,,,
100,100.4,8961100,,,,,
100,100.39,8985020,,,,,
100,99.89,9008940,,,,,
100,99.29,9031820,,,,,
100,99.6,9054700,,,,,
100,100.37,9077580,,,,,
100,100.69,9101500,,,,,
100,100.15,9125420,,,,,
100,99.69,9149340,,,,,
100,99.61,9172220,,,,,
100,99.87,9195100,,,,,
100,100.09,9217980,,,,,
100,99.95,9241900,,,,,
100,100.33,9264780,,,,,
100,100.18,9288700,,,,,
100,99.71,9312620,,,,,
100,100.13,9335500,,,,,
100,100.5,9359420,,,,,
100,99.98,9383340,,,,,
100,99.88,9406220,,,,,
100,100.1,9429100,,,,,
100,99.95,9453020,,,,,
100,99.83,9475900,,,,,
100,100.06,9498780,,,,,
100,100.43,9522700,,,,,
100,99.93,9546620,,,,,
100,99.32,9569500,,,,,
100,99.62,9592380,,,,,
100,100.39,9615260,,,,,
100,100.71,9639180,,,,,
100,100.17,9663100,,,,,
100,99.22,9687020,,,,,
100,99.22,9709900,,,,,
100,100.05,9732780,,,,,
100,100.42,9756700,,,,,
100,100.41,9780620,,,,,
100,99.91,9804540,,,,,
100,99.81,9827420,,,,,
100,100.04,9850300,,,,,
100,99.91,9874220,,,,,
100,100.3,9897100,,,,,
100,100.15,9921020,,,,,
100,99.69,9944940,,,,,
100,100.11,9967820,,,,,
100,100.48,9991740,,,,,
100,99.97,10015660,,,,,
100,99.53,10039580,,,,,
100,99.65,10063500,,,,,
100,100.24,10087420,,,,,
100,100.43,10112380,,,,,
100,100.27,10137340,,,,,
100,100.14,10162300,,,,,
100,99.56,10187260,,,,,
100,99.36,10211180,,,,,
100,99.99,10235100,,,,,
100,100.53,10259020,,,,,
100,100.2,10283980,,,,,
100,99.6,10308940,,,,,
100,99.89,10332860,,,,,
100,100.44,10356780,,,,,
100,100.12,10381740,,,,,
100,100.01,10406700,,,,,
100,99.91,10431660,,,,,
100,99.67,10455580,,,,,
100,99.76,10479500,,,,,
100,99.85,10503420,,,,,
100,100.41,10527340,,,,,
100,100.58,10552300,,,,,
100,99.93,10577260,,,,,
100,99.68,10601192,,,,,
100,99.29,10625100,,,,,
100,99.44,10649020,,,,,
100,100.55,10672940,,,,,
100,100.7,10697900,,,,,
100,100.03,10722860,,,,,
100,99.47,10747820,,,,,
100,99.77,10771748,,,,,
100,100.34,10795660,,,,,
100,100.5,10820636,,,,,
100,100.33,10845580,,,,,
100,99.73,10870540,,,,,
100,99.02,10894460,,,,,
100,99.21,10918380,,,,,
100,100.35,10942300,,,,,
100,101,10967260,,,,,
100,100.76,10992220,,,,,
100,99.62,11017180,,,,,
100,98.95,11041100,,,,,
100,99.64,11065020,,,,,
100,100.71,11088940,,,,,
100,100.84,11113900,,,,,
100,100.16,11138860,,,,,
100,99.57,11163820,,,,,
100,99.38,11187740,,,,,
100,100,11211660,,,,,
100,100.7,11236620,,,,,
100,100.5,11261580,,,,,
100,99.87,11286548,,,,,
100,99.63,11310460,,,,,
100,99.73,11334380,,,,,
100,99.82,11358300,,,,,
100,99.89,11382220,,,,,
100,99.96,11406140,,,,,
100,100.01,11430060,,,,,
100,100.22,11455020,,,,,
100,100.09,11479980,,,,,
100,99.98,11504940,,,,,
100,100.2,11528860,,,,,
100,99.91,11553820,,,,,
100,99.67,11577740,,,,,
100,99.76,11601660,,,,,
100,100.33,11625580,,,,,
100,100.52,11650540,,,,,
100,99.88,11675500,,,,,
100,99.64,11699420,,,,,
100,99.74,11723340,,,,,
100,100.31,11747260,,,,,
100,100.5,11772220,,,,,
100,99.86,11797180,,,,,
100,99.63,11821100,,,,,
100,99.73,11845020,,,,,
100,100.3,11868940,,,,,
100,100.49,11893900,,,,,
100,99.86,11918860,,,,,
100,99.62,11942780,,,,,
100,99.72,11966700,,,,,
100,100.3,11990620,,,,,
100,100.49,12015580,,,,,
100,99.85,12040540,,,,,
100,99.62,12064460,,,,,
100,99.72,12088380,,,,,
100,100.3,12112300,,,,,
100,100.48,12137260,,,,,
100,99.85,12162220,,,,,
100,99.62,12186140,,,,,
100,99.72,12210060,,,,,
100,100.3,12233980,,,,,
100,100.48,12258940,,,,,
100,99.85,12283900,,,,,
100,99.62,12307820,,,,,
100,99.72,12331740,,,,,
100,100.3,12355660,,,,,
100,100.48,12380620,,,,,
100,99.85,12405580,,,,,
100,99.61,12429500,,,,,
100,99.72,12453420,,,,,
100,100.3,12477340,,,,,
100,100.48,12502300,,,,,
100,99.85,12527260,,,,,
100,99.61,12551188,,,,,
100,99.72,12575100,,,,,
100,100.3,12599020,,,,,
100,100.48,12623980,,,,,
100,99.85,12648940,,,,,
100,99.62,12672860,,,,,
100,99.72,12696780,,,,,
100,100.3,12720700,,,,,
100,100.48,12745660,,,,,
100,99.85,12770620,,,,,
100,99.61,12794540,,,,,
100,99.72,12818460,,,,,
100,100.3,12842380,,,,,
100,100.48,12867340,,,,,
100,99.85,12892300,,,,,
100,99.61,12916220,,,,,
100,99.72,12940140,,,,,
100,100.3,12964060,,,,,
100,100.48,12989020,,,,,
100,99.85,13013980,,,,,
100,99.61,13037900,,,,,
100,99.72,13061820,,,,,
100,99.81,13085740,,,,,
100,100.37,13109660,,,,,
100,100.55,13134620,,,,,
100,99.91,13159580,,,,,
100,99.66,13183500,,,,,
100,99.76,13207420,,,,,
100,99.84,13231340,,,,,
100,100.4,13255260,,,,,
100,100.57,13280220,,,,,
100,99.93,13305180,,,,,
100,99.68,13329100,,,,,
100,99.77,13353020,,,,,
100,99.86,13376940,,,,,
100,99.92,13400860,,,,,
100,99.98,13424780,,,,,
100,100.03,13448700,,,,,
100,100.24,13473660,,,,,
100,100.58,13498620,,,,,
100,100.4,13523580,,,,,
100,99.78,13548540,,,,,
100,99.06,13572460,,,,,
100,99.25,13596380,,,,,
100,100.38,13620300,,,,,
100,101.03,13645260,,,,,
100,100.31,13670220,,,,,
100,99.24,13695180,,,,,
100,99.58,13719100,,,,,
100,100.18,13743020,,,,,
100,100.36,13767980,,,,,
100,100.21,13792940,,,,,
100,100.09,13817900,,,,,
100,99.98,13842860,,,,,
100,99.73,13866780,,,,,
100,99.81,13890700,,,,,
100,99.89,13914620,,,,,
100,99.95,13938540,,,,,
100,100.5,13962460,,,,,
100,100.65,13987420,,,,,
100,100,14012380,,,,,
100,99.43,14037340,,,,,
100,99.26,14061260,,,,,
100,99.9,14085180,,,,,
100,100.45,14109100,,,,,
100,100.13,14134060,,,,,
100,99.55,14159020,,,,,
100,99.85,14182940,,,,,
100,100.4,14206860,,,,,
100,100.09,14231820,,,,,
100,99.98,14256780,,,,,
100,100.19,14280700,,,,,
100,99.91,14305660,,,,,
100,99.66,14329580,,,,,
100,99.76,14353500,,,,,
100,100.33,14377420,,,,,
100,100.51,14402380,,,,,
100,99.88,14427340,,,,,
100,99.64,14451260,,,,,
100,99.74,14475180,,,,,
100,99.82,14499100,,,,,
100,100.39,14523020,,,,,
100,100.56,14547988,,,,,
100,99.91,14572940,,,,,
100,99.67,14596860,,,,,
100,99.77,14620780,,,,,
100,99.85,14644700,,,,,
100,100.41,14668620,,,,,
100,100.58,14693580,,,,,
100,99.93,14718540,,,,,
100,99.2,14742460,,,,,
100,99.36,14766380,,,,,
100,99.99,14790300,,,,,
100,100.04,14814228,,,,,
100,100.24,14839180,,,,,
100,100.58,14864140,,,,,
100,100.4,14889100,,,,,
100,99.78,14914060,,,,,
100,99.56,14937980,,,,,
100,100.15,14961908,,,,,
100,100.36,14986860,,,,,
100,100.22,15011820,,,,,
100,100.09,15036780,,,,,
100,99.51,15061740,,,,,
100,99.33,15085660,,,,,
100,99.96,15109580,,,,,
100,100.5,15133500,,,,,
100,100.17,15158460,,,,,
100,100.05,15183420,,,,,
100,99.95,15208380,,,,,
100,99.7,15232300,,,,,
100,99.79,15256220,,,,,
100,99.87,15280148,,,,,
100,99.93,15304060,,,,,
100,100.48,15327980,,,,,
100,100.64,15352940,,,,,
100,99.99,15377900,,,,,
100,99.24,15401820,,,,,
100,99.4,15425740,,,,,
100,100.51,15449660,,,,,
100,100.67,15474620,,,,,
100,100.01,15499580,,,,,
100,99.44,15524540,,,,,
100,99.27,15548460,,,,,
100,99.91,15572380,,,,,
100,100.46,15596300,,,,,
100,100.6,15621260,,,,,
100,100.42,15646220,,,,,
100,99.8,15671180,,,,,
100,99.57,15695100,,,,,
100,99.68,15719020,,,,,
100,99.77,15742940,,,,,
100,100.34,15766860,,,,,
100,100.52,15791820,,,,,
100,99.88,15816780,,,,,
100,99.64,15840700,,,,,
100,99.74,15864620,,,,,
100,100.32,15888540,,,,,
100,100.5,15913500,,,,,
100,99.87,15938460,,,,,
100,99.63,15962380,,,,,
100,99.73,15986300,,,,,
100,99.82,16010220,,,,,
100,100.38,16034140,,,,,
100,100.56,16059100,,,,,
100,99.91,16084060,,,,,
100,99.67,16107980,,,,,
100,99.76,16131900,,,,,
100,100.33,16155820,,,,,
100,100.52,16180780,,,,,
100,99.88,16205740,,,,,
100,99.64,16229660,,,,,
100,99.74,16253580,,,,,
100,100.31,16277500,,,,,
100,100.5,16302460,,,,,
100,99.86,16327420,,,,,
100,99.63,16351340,,,,,
100,99.73,16375260,,,,,
100,100.3,16399180,,,,,
100,100.49,16424140,,,,,
100,99.86,16449100,,,,,
100,99.62,16473020,,,,,
100,100.21,16496940,,,,,
100,100.41,16521900,,,,,
100,99.79,16546860,,,,,
100,99.56,16570780,,,,,
100,99.67,16594700,,,,,
100,100.26,16618620,,,,,
100,100.45,16643580,,,,,
100,99.82,16668540,,,,,
100,99.59,16692460,,,,,
100,99.7,16716380,,,,,
100,100.28,16740300,,,,,
100,100.47,16765260,,,,,
100,99.84,16790220,,,,,
100,99.6,16814140,,,,,
100,100.2,16838060,,,,,
100,100.4,16863020,,,,,
100,99.78,16887980,,,,,
100,99.55,16911900,,,,,
100,100.15,16935820,,,,,
100,100.36,16960780,,,,,
100,100.22,16985740,,,,,
100,100.09,17010708,,,,,
100,99.51,17035660,,,,,
100,99.82,17059580,,,,,
100,100.38,17083500,,,,,
100,100.07,17108460,,,,,
100,99.96,17133420,,,,,
100,100.18,17157340,,,,,
100,99.89,17182300,,,,,
100,99.65,17206220,,,,,
100,99.75,17230140,,,,,
100,100.32,17254060,,,,,
100,100.51,17279020,,,,,
100,99.87,17303980,,,,,
100,99.63,17327900,,,,,
100,99.73,17351820,,,,,
100,100.31,17375740,,,,,
100,100.49,17400700,,,,,
100,99.86,17425660,,,,,
100,99.62,17449580,,,,,
100,99.73,17473500,,,,,
100,100.3,17497420,,,,,
100,100.49,17522380,,,,,
100,99.85,17547340,,,,,
100,99.62,17571260,,,,,
100,99.72,17595180,,,,,
100,100.3,17619100,,,,,
100,100.49,17644060,,,,,
100,99.85,17669020,,,,,
100,99.62,17692940,,,,,
100,100.21,17716860,,,,,
100,100.41,17741820,,,,,
100,99.79,17766780,,,,,
100,99.56,17790700,,,,,
100,99.67,17814620,,,,,
100,100.26,17838540,,,,,
100,100.45,17863500,,,,,
100,99.82,17888460,,,,,
100,99.59,17912380,,,,,
100,99.7,17936300,,,,,
100,100.28,17960220,,,,,
100,100.47,17985180,,,,,
100,99.84,18010140,,,,,
100,99.6,18034060,,,,,
100,100.19,18057992,,,,,
100,100.4,18082940,,,,,
100,99.78,18107900,,,,,
100,99.55,18131820,,,,,
100,99.67,18155740,,,,,
100,100.25,18179660,,,,,
100,100.45,18204620,,,,,
100,100.29,18229580,,,,,
100,100.15,18254540,,,,,
100,99.56,18279500,,,,,
100,99.37,18303420,,,,,
100,100,18327340,,,,,
100,100.7,18352300,,,,,
100,100.5,18377260,,,,,
100,99.87,18402220,,,,,
100,99.63,18426140,,,,,
100,99.73,18450060,,,,,
100,99.82,18473980,,,,,
100,99.89,18497900,,,,,
100,99.96,18521820,,,,,
100,100.01,18545740,,,,,
100,100.22,18570700,,,,,
100,100.56,18595660,,,,,
100,100.38,18620620,,,,,
100,99.76,18645580,,,,,
100,99.54,18669500,,,,,
100,99.66,18693420,,,,,
100,100.24,18717352,,,,,
100,100.43,18742300,,,,,
100,99.81,18767260,,,,,
100,99.58,18791180,,,,,
100,99.69,18815100,,,,,
100,100.27,18839020,,,,,
100,100.46,18863980,,,,,
100,99.83,18888940,,,,,
100,99.6,18912860,,,,,
100,100.19,18936780,,,,,
100,100.4,18961740,,,,,
100,100.24,18986700,,,,,
100,100.11,19011660,,,,,
100,99.53,19036620,,,,,
100,99.35,19060540,,,,,
100,99.98,19084460,,,,,
100,100.52,19108380,,,,,
100,100.65,19133340,,,,,
100,100.46,19158300,,,,,
100,99.36,19183260,,,,,
100,98.73,19207188,,,,,
100,99.45,19231100,,,,,
100,100.56,19255020,,,,,
100,101.18,19279980,,,,,
100,100.44,19304940,,,,,
100,99.35,19329900,,,,,
100,99.18,19353820,,,,,
100,99.84,19377740,,,,,
100,100.4,19401660,,,,,
100,100.55,19426620,,,,,
100,100.38,19451580,,,,,
100,99.76,19476540,,,,,
100,99.54,19500460,,,,,
100,99.65,19524380,,,,,
100,100.24,19548300,,,,,
100,100.43,19573260,,,,,
100,99.81,19598220,,,,,
100,99.58,19622140,,,,,
100,99.69,19646060,,,,,
100,100.27,19669980,,,,,
100,100.46,19694940,,,,,
100,100.3,19719900,,,,,
100,100.16,19744860,,,,,
100,99.57,19769820,,,,,
100,99.38,19793740,,,,,
100,100.01,19817660,,,,,
100,100.7,19842620,,,,,
100,100.51,19867580,,,,,
100,99.87,19892540,,,,,
100,99.63,19916460,,,,,
100,99.73,19940380,,,,,
100,99.82,19964300,,,,,
100,99.89,19988220,,,,,
100,100.45,20012140,,,,,
100,100.61,20037100,,,,,
100,99.96,20062060,,,,,
100,99.71,20085980,,,,,
100,99.8,20109900,,,,,
100,99.88,20133820,,,,,
100,99.94,20157740,,,,,
100,100,20181660,,,,,
100,99.74,20206620,,,,,
100,99.52,20230540,,,,,
100,100.13,20254460,,,,,
100,100.34,20279420,,,,,
100,100.2,20304380,,,,,
100,100.07,20329340,,,,,
100,99.97,20354300,,,,,
100,100.18,20378220,,,,,
100,99.9,20403180,,,,,
100,99.66,20427100,,,,,
100,99.75,20451020,,,,,
100,100.33,20474940,,,,,
100,100.51,20499900,,,,,
100,99.87,20524860,,,,,
100,99.63,20548780,,,,,
100,100.22,20572704,,,,,
100,100.42,20597660,,,,,
100,99.8,20622620,,,,,
100,99.57,20646540,,,,,
100,99.68,20670460,,,,,
100,100.26,20694380,,,,,
100,100.46,20719340,,,,,
100,99.83,20744300,,,,,
100,99.59,20768220,,,,,
